!!id a e inc node peri ma epoch H 
73 47.9405 0.2774 12.3760 70.9840 101.2144 107.7434 53157.0 7.0
73 47.9464 0.3038 9.3923 321.5840 213.4955 109.3760 53157.0 7.0
76 47.7001 0.2242 3.1144 238.5492 86.2823 37.3448 53157.0 7.0
76 47.7369 0.4028 4.5090 65.0195 203.9630 250.8403 53157.0 7.0
77 47.6945 0.3279 10.3044 280.7446 92.5552 189.2688 53157.0 7.0
77 47.8212 0.2487 8.4907 339.7602 235.5000 108.9184 53157.0 7.0
77 47.8530 0.3384 11.7267 316.8713 155.2740 157.2555 53157.0 7.0
79 47.9299 0.2434 3.1731 45.2979 340.4115 0.6093 53157.0 7.0
79 47.6809 0.2644 7.4712 117.4227 226.6710 42.3377 53157.0 7.0
82 47.6563 0.2927 3.4614 116.0510 149.1611 247.8074 53157.0 7.0
82 47.8576 0.3309 6.8493 129.0664 262.4137 185.1734 53157.0 7.0
84 47.9713 0.2930 11.3444 30.9856 288.2432 228.2660 53157.0 7.0
86 47.9568 0.2936 6.6494 8.6117 221.5817 92.9464 53157.0 7.0
87 47.8623 0.3185 16.2243 144.7330 318.4974 337.9976 53157.0 7.0
88 47.8041 0.1953 2.4768 167.5240 126.4873 68.0306 53157.0 7.0
89 47.7882 0.2300 9.3299 22.1590 305.6203 214.7429 53157.0 7.0
89 47.8298 0.2464 9.2452 112.9756 95.8025 109.7742 53157.0 7.0
91 47.8755 0.2537 6.1590 239.6102 150.4119 27.8905 53157.0 7.0
92 47.7106 0.2993 6.8015 77.5762 330.8767 192.5358 53157.0 7.0
95 47.9322 0.3139 16.6403 178.7578 35.1368 275.9010 53157.0 7.0
99 47.8254 0.2789 13.0660 24.2139 348.1193 4.0672 53157.0 7.0
99 47.9256 0.2828 7.7680 262.4406 222.6607 139.2186 53157.0 7.0
100 47.6105 0.3157 10.0558 187.0645 58.5251 262.3626 53157.0 7.0
103 47.6198 0.3338 6.7327 41.2121 186.2895 254.9223 53157.0 7.0
103 47.9829 0.2148 11.6816 177.4002 222.9238 11.5862 53157.0 7.0
103 47.9928 0.2584 12.8653 239.5540 215.9969 149.2009 53157.0 7.0
104 47.6421 0.4263 14.3143 152.0657 290.9238 331.6372 53157.0 7.0
109 47.6532 0.3206 8.9785 152.4813 25.9172 281.2293 53157.0 7.0
109 47.7277 0.2661 18.1090 40.4609 180.1184 263.7485 53157.0 7.0
111 47.6503 0.3517 5.0828 243.4277 28.8790 58.3332 53157.0 7.0
112 47.9715 0.2765 5.9144 96.8348 199.8124 51.1406 53157.0 7.0
113 47.9320 0.2226 4.3376 205.3216 91.1283 234.2686 53157.0 7.0
113 47.7930 0.2455 4.1848 204.0619 165.5679 2.6913 53157.0 7.0
114 47.9252 0.3053 7.2916 288.0010 61.8744 18.1936 53157.0 7.0
114 47.6455 0.1703 2.4851 85.4518 96.9303 117.7424 53157.0 7.0
114 47.9183 0.1989 5.1597 161.2995 195.8056 195.3336 53157.0 7.0
115 47.9481 0.2730 10.9411 289.1721 120.4298 357.0596 53157.0 7.0
116 47.9840 0.2847 5.0602 300.6505 136.0374 341.0433 53157.0 7.0
117 47.9130 0.3287 2.0723 160.2511 187.5963 9.7174 53157.0 7.0
117 47.8941 0.3211 1.7692 324.0849 290.2840 250.2466 53157.0 7.0
117 47.7537 0.4273 11.4241 82.7844 228.9015 35.3684 53157.0 7.0
119 47.7095 0.2401 12.4850 250.4046 269.9673 118.1469 53157.0 7.0
119 47.6820 0.1911 6.6888 42.4192 342.4528 19.6802 53157.0 7.0
120 47.7705 0.2262 3.4804 0.1617 85.5441 152.4204 53157.0 7.0
120 47.7092 0.3113 4.5247 337.9764 262.6296 68.8183 53157.0 7.0
120 47.6646 0.2425 6.3098 185.5606 52.0128 260.8941 53157.0 7.0
121 47.9812 0.2188 2.2503 339.6689 280.4406 94.1579 53157.0 7.0
123 47.9685 0.2589 4.4898 259.0485 173.0448 336.3169 53157.0 7.0
123 47.9165 0.2237 9.3902 113.8989 70.5168 272.9536 53157.0 7.0
125 47.7640 0.3179 7.1954 102.0166 227.7336 213.2868 53157.0 7.0
125 47.6289 0.3645 10.1912 145.1620 274.5729 347.5741 53157.0 7.0
125 47.6293 0.3400 8.2085 290.0784 293.2697 255.1174 53157.0 7.0
125 47.9195 0.3251 9.2427 4.3362 293.4305 41.9680 53157.0 7.0
126 47.7249 0.2742 5.8089 97.4529 11.7501 134.7563 53157.0 7.0
128 47.8662 0.3452 5.8547 155.6157 141.0477 38.4668 53157.0 7.0
128 47.8616 0.4017 13.1442 219.8647 325.1495 287.7116 53157.0 7.0
130 47.7288 0.2893 3.5159 213.5028 77.3249 227.1202 53157.0 7.0
130 47.8313 0.2392 12.2395 19.2820 134.9002 114.8634 53157.0 7.0
130 47.9944 0.1537 9.2609 129.9372 2.1470 312.2712 53157.0 7.0
130 47.6105 0.2411 14.4265 204.6119 347.5949 112.9860 53157.0 7.0
130 47.7810 0.2976 19.1936 245.0587 178.7653 154.4195 53157.0 7.0
133 47.7443 0.1947 11.6568 280.6615 9.6709 39.6668 53157.0 7.0
135 47.6089 0.3073 11.7007 344.6360 110.9860 161.4918 53157.0 7.0
135 47.7216 0.2337 3.0263 25.0503 219.3576 72.6145 53157.0 7.0
135 47.8636 0.3486 1.1850 7.9455 324.4694 206.3395 53157.0 7.0
136 47.9056 0.2475 3.0012 336.2703 162.9008 121.8504 53157.0 7.0
142 47.9682 0.2774 6.1447 98.5570 142.3387 278.4233 53157.0 7.0
143 47.6149 0.4220 12.8914 238.8530 259.1846 138.6486 53157.0 7.0
143 47.9894 0.2388 14.3611 315.1395 307.2561 255.1247 53157.0 7.0
147 47.9785 0.2991 7.6275 174.0613 80.5748 61.6043 53157.0 7.0
148 47.7476 0.2837 9.2103 183.2956 208.2504 188.7108 53157.0 7.0
148 47.6092 0.2094 6.8039 344.3700 324.3365 208.1134 53157.0 7.0
148 47.6182 0.3010 6.2739 243.0789 269.3404 295.9981 53157.0 7.0
151 47.7297 0.2532 4.1740 126.9879 198.3733 229.4878 53157.0 7.0
152 47.7584 0.2789 8.8976 95.4607 96.5491 279.1317 53157.0 7.0
153 47.9576 0.2417 6.8144 278.4775 39.2748 33.8575 53157.0 7.0
157 47.7820 0.2863 12.4284 101.3784 181.9689 229.2958 53157.0 7.0
158 47.8859 0.1881 7.2832 20.7517 121.8883 327.2742 53157.0 7.0
160 47.9898 0.4433 21.0364 156.8701 132.8435 228.9834 53157.0 7.0
160 47.6571 0.2383 5.0688 276.3225 343.2735 78.4524 53157.0 7.0
161 47.9836 0.2739 6.8886 122.7582 293.5450 0.3357 53157.0 7.0
163 47.9154 0.2879 8.9287 133.7610 285.5990 171.2379 53157.0 7.0
164 47.6227 0.3283 16.8824 247.6034 216.6726 146.1362 53157.0 7.0
165 47.8823 0.2566 5.5769 259.2323 337.8957 264.4220 53157.0 7.0
165 47.9114 0.2185 11.1738 227.4300 296.5641 122.5129 53157.0 7.0
165 47.8169 0.2296 9.1351 310.0649 312.8683 244.6157 53157.0 7.0
166 47.7108 0.4134 8.0842 233.8354 46.3858 50.7535 53157.0 7.0
167 47.6890 0.2621 13.5923 34.9321 120.5379 126.2435 53157.0 7.0
168 47.6526 0.2351 1.1310 339.4292 152.0949 135.3788 53157.0 7.0
168 47.9886 0.2168 8.7776 241.1260 247.1976 301.8072 53157.0 7.0
168 47.8528 0.2587 5.9329 5.1160 46.3771 337.4394 53157.0 7.0
173 47.9642 0.3244 16.9751 61.3459 319.5952 184.5394 53157.0 7.0
173 47.8734 0.2491 8.6789 168.7981 240.1049 9.0310 53157.0 7.0
175 47.6451 0.3406 10.2709 9.7513 253.5869 64.2691 53157.0 7.0
176 47.7471 0.2701 6.3504 71.4547 68.7917 136.7951 53157.0 7.0
181 47.6009 0.2365 11.3998 299.5366 151.3224 138.6504 53157.0 7.0
182 47.7683 0.2405 6.3269 30.7426 192.5104 268.2996 53157.0 7.0
182 47.6480 0.2815 16.6421 296.1016 161.1290 145.6421 53157.0 7.0
184 47.7837 0.3047 14.1857 133.5538 207.3031 204.0208 53157.0 7.0
192 47.7245 0.3261 4.4268 134.5624 90.6550 265.1178 53157.0 7.0
192 47.9914 0.2456 8.1165 343.2844 262.5281 65.9677 53157.0 7.0
193 47.8714 0.3893 8.1032 89.7306 187.0356 225.6376 53157.0 7.0
193 47.9373 0.3818 4.0642 139.2522 181.9187 39.0323 53157.0 7.0
194 47.9844 0.2993 5.9842 247.1533 209.0462 144.7194 53157.0 7.0
195 47.9631 0.1320 7.7518 92.2359 203.1553 95.9929 53157.0 7.0
195 47.8573 0.3093 5.3806 42.9551 69.2484 329.2704 53157.0 7.0
195 47.6790 0.2270 3.9399 61.4851 65.0519 301.8455 53157.0 7.0
195 47.6661 0.3938 7.7463 111.3348 143.4420 77.1229 53157.0 7.0
196 47.9166 0.1961 5.9572 120.2331 308.0148 159.7844 53157.0 7.0
196 47.9463 0.2719 8.1990 238.9351 19.2173 62.0346 53157.0 7.0
196 47.7395 0.2601 10.2472 220.8026 259.0310 134.7732 53157.0 7.0
196 47.8780 0.2441 7.7032 323.9159 336.9739 234.3797 53157.0 7.0
196 47.7421 0.2455 0.3684 100.9702 33.7629 132.0371 53157.0 7.0
197 47.7363 0.2639 6.6906 24.6172 175.4744 282.1128 53157.0 7.0
204 47.7664 0.2686 7.5688 352.7268 4.8076 4.1975 53157.0 7.0
204 47.9268 0.2091 15.3379 197.4023 160.6088 210.4996 53157.0 7.0
204 47.6337 0.2514 10.3999 148.4734 344.2142 138.4656 53157.0 7.0
205 47.9978 0.2659 5.2934 249.2255 1.6816 260.0455 53157.0 7.0
205 47.6202 0.3414 1.3103 325.2879 293.0345 60.2618 53157.0 7.0
210 47.9249 0.3023 6.7388 26.6563 157.9103 281.6934 53157.0 7.0
211 47.6296 0.3161 7.9752 20.9565 155.8009 106.5171 53157.0 7.0
213 47.7263 0.2411 9.2127 260.3118 353.3632 59.2554 53157.0 7.0
213 47.6328 0.2361 1.0007 80.0285 52.0866 132.8522 53157.0 7.0
214 47.8493 0.3044 9.4351 247.5732 186.5244 152.8083 53157.0 7.0
214 47.6441 0.2963 10.2727 122.1043 162.6383 241.4774 53157.0 7.0
218 47.8946 0.2797 4.9151 238.1566 283.5921 115.4516 53157.0 7.0
218 47.9972 0.1035 4.1520 318.5529 347.2963 85.6654 53157.0 7.0
219 47.9768 0.2989 11.3627 124.9725 352.7770 130.9775 53157.0 7.0
219 47.7774 0.3502 5.0552 147.7640 185.7195 10.8929 53157.0 7.0
220 47.6673 0.2726 7.9381 11.9556 44.6315 189.2736 53157.0 7.0
220 47.7149 0.2364 4.9550 263.9064 140.9675 190.1347 53157.0 7.0
229 47.8911 0.2932 7.8409 130.4658 64.1059 281.5236 53157.0 7.0
232 47.8740 0.2610 1.7899 145.4932 61.1031 275.5388 53157.0 7.0
235 47.7315 0.2907 1.3549 46.4695 4.2856 355.7133 53157.0 7.0
236 47.8508 0.3972 7.6374 144.3079 13.8941 114.7519 53157.0 7.0
236 47.6719 0.3598 8.1492 338.0187 289.3591 65.1436 53157.0 7.0
239 47.8121 0.2722 5.2387 20.3575 112.7839 290.6144 53157.0 7.0
240 47.6970 0.2959 5.8893 12.2844 95.7050 128.2990 53157.0 7.0
241 47.6655 0.2895 5.4775 1.9456 133.2369 122.8556 53157.0 7.0
241 47.9318 0.2278 10.6128 143.4601 7.4635 305.3063 53157.0 7.0
242 47.7091 0.3133 0.2381 201.5269 281.7355 312.4136 53157.0 7.0
242 47.8757 0.2411 8.0491 320.5751 30.2073 25.2228 53157.0 7.0
242 47.7276 0.2946 6.8680 180.6669 227.7491 180.7901 53157.0 7.0
245 47.6581 0.2380 9.2599 168.0115 111.1860 225.8240 53157.0 7.0
246 47.7004 0.3695 9.0408 28.9783 352.4531 1.1498 53157.0 7.0
246 47.7005 0.1057 8.5875 78.4495 242.8471 206.4236 53157.0 7.0
249 47.7147 0.2986 2.5775 288.7046 270.3635 279.4931 53157.0 7.0
252 47.7442 0.2132 10.9285 152.7803 245.3047 352.2678 53157.0 7.0
253 47.9586 0.2747 5.3300 152.5946 314.7392 167.6835 53157.0 7.0
253 47.9174 0.3468 5.8873 261.7357 205.4823 145.3188 53157.0 7.0
253 47.6801 0.2785 2.4665 181.2606 147.9674 209.7579 53157.0 7.0
259 47.8743 0.2678 17.6548 194.1136 352.3053 117.2406 53157.0 7.0
261 47.6557 0.2761 6.7954 93.0191 155.4025 70.8257 53157.0 7.0
261 47.7570 0.3288 5.4996 139.6589 156.4116 221.2332 53157.0 7.0
264 47.6789 0.2057 3.8995 356.8049 151.4302 111.2920 53157.0 7.0
270 47.8117 0.3131 8.4975 223.0727 346.8423 258.3712 53157.0 7.0
271 47.7568 0.4060 7.6119 124.4479 262.6039 7.6980 53157.0 7.0
271 47.8080 0.2503 13.6843 355.1287 196.9997 279.3415 53157.0 7.0
272 47.9755 0.3551 7.3197 181.9456 67.5510 64.3490 53157.0 7.0
274 47.7249 0.2062 5.6375 297.1865 156.9272 159.1258 53157.0 7.0
274 47.9379 0.1958 9.4221 102.2305 38.3562 128.6371 53157.0 7.0
274 47.8933 0.3001 3.4414 100.0162 285.8542 1.8549 53157.0 7.0
278 47.8638 0.2485 7.2477 114.0718 112.9934 72.1311 53157.0 7.0
280 47.7441 0.3411 13.1067 235.1648 192.9765 156.2750 53157.0 7.0
